iter	Passed	Remaining
0	1	112
1	1	96
2	2	95
3	3	92
4	5	95
5	6	94
6	7	95
7	8	93
8	9	92
9	10	90
10	10	88
11	11	87
12	12	86
13	14	87
14	15	86
15	16	84
16	17	83
17	18	82
18	19	85
19	21	84
20	22	83
21	23	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	72
31	33	72
32	34	70
33	35	69
34	37	68
35	37	67
36	39	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	57
45	48	56
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	62	44
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	77	33
70	78	32
71	79	31
72	80	29
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	96	15
86	97	14
87	98	13
88	98	12
89	100	11
90	101	9
91	101	8
92	102	7
93	103	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	111	0
