iter	Passed	Remaining
0	134	133891
1	134	67297
2	135	45126
3	136	34042
4	137	27372
5	138	22925
6	139	19757
7	140	17360
8	140	15496
9	141	14017
10	142	12798
11	143	11786
12	143	10928
13	144	10196
14	145	9564
15	146	9012
16	147	8523
17	148	8082
18	148	7688
19	149	7333
20	150	7016
21	151	6727
22	152	6466
23	153	6233
24	154	6010
25	154	5802
26	155	5610
27	156	5434
28	157	5270
29	158	5121
30	159	4976
31	159	4837
32	160	4710
33	161	4589
34	162	4476
35	163	4368
36	163	4268
37	164	4171
38	165	4080
39	166	3993
40	167	3916
41	168	3840
42	169	3766
43	170	3695
44	171	3630
45	171	3565
46	172	3504
47	173	3445
48	174	3388
49	175	3332
50	176	3280
51	177	3227
52	177	3177
53	178	3129
54	179	3083
55	180	3038
56	181	2995
57	182	2959
58	183	2921
59	183	2882
60	184	2844
61	185	2807
62	186	2772
63	187	2737
64	188	2704
65	188	2671
66	189	2640
67	190	2610
68	191	2581
69	192	2553
70	193	2526
71	193	2498
72	194	2472
73	195	2446
74	196	2422
75	197	2401
76	198	2380
77	199	2357
78	200	2334
79	201	2313
80	201	2291
81	202	2270
82	203	2244
83	204	2225
84	204	2205
85	205	2186
86	206	2166
87	207	2148
88	208	2130
89	208	2112
90	209	2095
91	210	2078
92	211	2064
93	212	2050
94	213	2034
95	214	2018
96	215	2003
97	215	1987
98	216	1973
99	217	1959
100	218	1945
101	219	1932
102	220	1918
103	221	1905
104	222	1892
105	222	1878
106	223	1865
107	224	1852
108	225	1843
109	226	1833
110	227	1824
111	228	1812
112	229	1801
113	230	1789
114	231	1778
115	231	1767
116	232	1755
117	233	1744
118	234	1734
119	235	1724
120	235	1714
121	236	1702
122	237	1692
123	238	1682
124	239	1674
125	240	1665
126	240	1654
127	241	1647
128	242	1639
129	243	1630
130	244	1621
131	245	1613
132	246	1605
133	247	1596
134	247	1588
135	248	1580
136	249	1572
137	250	1564
138	251	1556
139	252	1549
140	253	1542
141	253	1532
142	254	1525
143	255	1518
144	256	1512
145	257	1507
146	258	1500
147	259	1493
148	260	1486
149	261	1479
150	261	1473
151	262	1466
152	263	1459
153	264	1453
154	265	1446
155	266	1440
156	267	1434
157	268	1428
158	268	1422
159	269	1416
160	270	1408
161	271	1403
162	272	1399
163	273	1393
164	274	1387
165	275	1382
166	275	1376
167	276	1370
168	277	1365
169	278	1359
170	279	1354
171	280	1350
172	281	1345
173	282	1340
174	283	1335
175	284	1331
176	285	1326
177	286	1322
178	287	1318
179	288	1313
180	289	1308
181	290	1303
182	290	1298
183	291	1293
184	292	1289
185	293	1284
186	294	1279
187	295	1274
188	296	1270
189	296	1265
190	297	1261
191	298	1257
192	299	1252
193	300	1248
194	301	1245
195	302	1242
196	303	1237
197	304	1233
198	305	1228
199	306	1224
200	307	1220
201	307	1216
202	308	1212
203	309	1207
204	310	1203
205	311	1199
206	311	1194
207	312	1190
208	313	1186
209	314	1182
210	315	1178
211	316	1174
212	317	1172
213	318	1168
214	319	1165
215	319	1161
216	320	1157
217	321	1153
218	322	1149
219	323	1145
220	324	1142
221	324	1138
222	325	1134
223	326	1130
224	327	1127
225	328	1123
226	328	1120
227	329	1116
228	330	1112
229	331	1110
230	332	1107
231	333	1103
232	334	1100
233	335	1097
234	336	1094
235	336	1090
236	337	1087
237	338	1083
238	339	1080
239	340	1077
240	341	1074
241	342	1071
242	343	1069
243	344	1066
244	345	1063
245	346	1061
246	347	1059
247	348	1057
248	349	1054
249	350	1051
250	351	1048
251	352	1045
252	353	1043
253	354	1041
254	355	1038
255	356	1036
256	357	1033
257	358	1032
258	361	1033
259	362	1032
260	363	1030
261	364	1027
262	366	1025
263	367	1023
264	368	1021
265	369	1018
266	369	1015
267	370	1012
268	371	1010
269	373	1009
270	374	1007
271	375	1004
272	376	1003
273	378	1001
274	379	999
275	380	997
276	381	995
277	382	993
278	383	991
279	384	989
280	385	987
281	388	989
282	389	987
283	391	986
284	392	984
285	393	982
286	394	981
287	396	979
288	397	976
289	398	974
290	399	972
291	400	970
292	401	968
293	402	966
294	403	964
295	404	961
296	405	959
297	406	957
298	407	956
299	409	954
300	410	952
301	411	950
302	412	947
303	413	945
304	414	943
305	415	941
306	416	939
307	417	937
308	418	935
309	419	932
310	420	930
311	421	929
312	422	928
313	424	926
314	425	924
315	426	922
316	427	920
317	428	918
318	429	916
319	430	914
320	431	913
321	432	911
322	433	908
323	434	906
324	435	904
325	436	903
326	438	901
327	439	899
328	440	897
329	441	895
330	442	893
331	443	891
332	444	889
333	445	887
334	446	885
335	447	883
336	448	881
337	448	879
338	449	877
339	450	875
340	452	873
341	453	871
342	454	870
343	455	868
344	456	866
345	457	864
346	458	862
347	459	860
348	459	857
349	460	856
350	461	853
351	462	851
352	463	849
353	464	847
354	465	845
355	466	844
356	468	843
357	469	841
358	470	839
359	471	837
360	472	836
361	473	834
362	474	832
363	475	830
364	476	828
365	476	826
366	477	824
367	478	822
368	479	820
369	480	818
370	481	816
371	482	814
372	483	813
373	484	811
374	485	809
375	486	807
376	487	805
377	488	803
378	489	801
379	490	800
380	491	798
381	492	796
382	493	794
383	494	792
384	495	790
385	497	790
386	498	788
387	499	787
388	499	785
389	500	783
390	501	781
391	502	779
392	503	778
393	504	776
394	505	774
395	506	772
396	507	770
397	508	769
398	509	767
399	511	766
400	512	765
401	513	763
402	514	762
403	515	760
404	516	759
405	517	757
406	518	756
407	520	754
408	521	753
409	522	751
410	523	749
411	524	748
412	525	746
413	527	745
414	528	745
415	529	743
416	530	742
417	531	740
418	532	738
419	534	737
420	535	736
421	536	734
422	537	733
423	538	731
424	539	729
425	540	728
426	542	727
427	543	726
428	544	724
429	545	723
430	546	721
431	547	720
432	549	718
433	549	717
434	551	715
435	551	713
436	553	712
437	554	710
438	555	709
439	556	708
440	557	707
441	558	705
442	559	703
443	561	703
444	562	701
445	563	700
446	564	698
447	565	697
448	566	695
449	567	693
450	568	692
451	569	690
452	570	688
453	571	687
454	572	685
455	573	684
456	574	682
457	575	681
458	576	679
459	577	678
460	578	676
461	579	674
462	580	673
463	581	671
464	582	669
465	583	668
466	583	666
467	584	664
468	585	663
469	587	662
470	588	660
471	589	659
472	590	657
473	591	656
474	592	654
475	593	652
476	594	651
477	594	649
478	595	648
479	596	646
480	597	645
481	598	643
482	599	641
483	600	640
484	601	639
485	602	637
486	603	636
487	604	634
488	605	633
489	606	631
490	607	629
491	608	628
492	609	626
493	610	625
494	611	623
495	612	622
496	613	620
497	613	618
498	614	617
499	616	616
500	617	615
501	618	613
502	619	611
503	620	610
504	621	608
505	622	607
506	623	605
507	623	604
508	624	602
509	625	601
510	626	599
511	627	597
512	628	596
513	629	594
514	630	593
515	631	592
516	632	590
517	633	589
518	634	588
519	635	586
520	636	585
521	637	583
522	638	582
523	639	580
524	640	579
525	640	577
526	641	576
527	643	574
528	644	573
529	645	571
530	646	570
531	647	569
532	648	568
533	649	566
534	650	565
535	651	563
536	652	562
537	653	560
538	654	559
539	654	557
540	655	556
541	656	555
542	657	553
543	658	552
544	659	550
545	670	557
546	671	555
547	672	554
548	673	552
549	673	551
550	674	549
551	675	548
552	676	547
553	677	545
554	678	544
555	679	542
556	680	541
557	681	539
558	681	537
559	682	536
560	683	535
561	684	533
562	685	532
563	686	530
564	687	529
565	688	527
566	688	526
567	689	524
568	690	523
569	691	521
570	692	520
571	693	518
572	694	517
573	695	516
574	696	514
575	697	513
576	698	511
577	699	510
578	699	508
579	700	507
580	701	506
581	702	504
582	703	503
583	704	501
584	705	500
585	706	499
586	707	497
587	708	496
588	708	494
589	709	493
590	710	491
591	711	490
592	712	489
593	713	487
594	714	486
595	715	484
596	715	483
597	716	481
598	717	480
599	718	478
600	719	477
601	720	476
602	720	474
603	721	473
604	722	471
605	723	470
606	724	469
607	725	467
608	726	466
609	727	464
610	728	463
611	728	462
612	729	460
613	730	459
614	731	457
615	732	456
616	733	455
617	734	453
618	734	452
619	735	450
620	736	449
621	737	448
622	738	447
623	739	445
624	740	444
625	741	442
626	742	441
627	743	440
628	743	438
629	744	437
630	745	436
631	746	434
632	747	433
633	748	431
634	749	430
635	750	429
636	751	428
637	753	427
638	753	425
639	754	424
640	755	423
641	756	422
642	757	420
643	758	419
644	759	418
645	760	416
646	761	415
647	762	413
648	762	412
649	763	411
650	764	409
651	765	408
652	766	407
653	767	406
654	768	404
655	769	403
656	770	402
657	771	400
658	772	399
659	772	398
660	773	396
661	774	395
662	775	394
663	776	392
664	777	391
665	778	390
666	779	388
667	779	387
668	780	386
669	781	384
670	782	383
671	783	382
672	784	381
673	785	379
674	785	378
675	786	377
676	787	375
677	788	374
678	789	373
679	790	371
680	791	370
681	792	369
682	792	368
683	793	366
684	794	365
685	795	364
686	796	363
687	797	361
688	798	360
689	799	359
690	800	357
691	801	356
692	801	355
693	802	353
694	803	352
695	804	351
696	805	350
697	806	348
698	807	347
699	808	346
700	808	345
701	809	343
702	810	342
703	811	341
704	812	340
705	813	338
706	814	337
707	815	336
708	816	334
709	816	333
710	817	332
711	818	331
712	819	329
713	820	328
714	821	327
715	822	326
716	823	324
717	823	323
718	824	322
719	825	321
720	826	319
721	827	318
722	828	317
723	829	316
724	830	314
725	831	313
726	832	312
727	832	311
728	833	310
729	834	308
730	835	307
731	836	306
732	837	305
733	838	303
734	839	302
735	840	301
736	840	300
737	842	299
738	843	297
739	844	296
740	845	295
741	846	294
742	847	293
743	848	291
744	849	290
745	849	289
746	850	288
747	851	286
748	852	285
749	853	284
750	854	283
751	855	282
752	856	280
753	857	279
754	858	278
755	859	277
756	860	276
757	861	275
758	862	273
759	863	272
760	863	271
761	864	270
762	865	268
763	866	267
764	867	266
765	868	265
766	869	263
767	869	262
768	870	261
769	872	260
770	873	259
771	875	258
772	876	257
773	876	256
774	877	254
775	878	253
776	879	252
777	880	251
778	881	250
779	882	248
780	883	247
781	884	246
782	885	245
783	885	244
784	887	242
785	888	241
786	889	240
787	890	239
788	890	238
789	891	237
790	892	235
791	893	234
792	894	233
793	895	232
794	896	231
795	897	229
796	897	228
797	898	227
798	899	226
799	900	225
800	901	223
801	902	222
802	903	221
803	904	220
804	905	219
805	906	218
806	907	216
807	908	215
808	908	214
809	909	213
810	910	212
811	911	211
812	912	209
813	913	208
814	914	207
815	914	206
816	915	205
817	917	204
818	918	202
819	919	201
820	920	200
821	920	199
822	921	198
823	922	197
824	923	195
825	924	194
826	925	193
827	926	192
828	927	191
829	928	190
830	929	188
831	930	187
832	931	186
833	932	185
834	934	184
835	935	183
836	936	182
837	936	181
838	937	179
839	938	178
840	939	177
841	940	176
842	941	175
843	942	174
844	943	173
845	944	171
846	945	170
847	946	169
848	947	168
849	948	167
850	949	166
851	950	165
852	951	164
853	952	162
854	953	161
855	954	160
856	955	159
857	956	158
858	957	157
859	958	156
860	959	154
861	960	153
862	961	152
863	962	151
864	963	150
865	964	149
866	965	148
867	966	147
868	967	145
869	968	144
870	969	143
871	971	142
872	972	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	978	134
879	979	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	988	123
889	989	122
890	990	121
891	992	120
892	993	119
893	994	117
894	995	116
895	996	115
896	997	114
897	998	113
898	999	112
899	1000	111
900	1001	110
901	1002	108
902	1003	107
903	1004	106
904	1005	105
905	1006	104
906	1008	103
907	1009	102
908	1010	101
909	1011	100
910	1012	98
911	1013	97
912	1014	96
913	1014	95
914	1015	94
915	1016	93
916	1017	92
917	1018	90
918	1019	89
919	1020	88
920	1021	87
921	1022	86
922	1024	85
923	1024	84
924	1025	83
925	1026	82
926	1027	80
927	1028	79
928	1029	78
929	1030	77
930	1031	76
931	1032	75
932	1033	74
933	1035	73
934	1036	72
935	1038	70
936	1039	69
937	1040	68
938	1041	67
939	1042	66
940	1043	65
941	1044	64
942	1045	63
943	1046	62
944	1047	60
945	1048	59
946	1049	58
947	1050	57
948	1052	56
949	1053	55
950	1054	54
951	1055	53
952	1056	52
953	1057	50
954	1058	49
955	1059	48
956	1060	47
957	1061	46
958	1062	45
959	1063	44
960	1064	43
961	1066	42
962	1067	41
963	1068	39
964	1069	38
965	1070	37
966	1071	36
967	1072	35
968	1073	34
969	1074	33
970	1075	32
971	1076	31
972	1077	29
973	1078	28
974	1079	27
975	1080	26
976	1081	25
977	1082	24
978	1083	23
979	1084	22
980	1085	21
981	1086	19
982	1087	18
983	1088	17
984	1089	16
985	1090	15
986	1090	14
987	1091	13
988	1092	12
989	1093	11
990	1094	9
991	1096	8
992	1097	7
993	1098	6
994	1099	5
995	1100	4
996	1101	3
997	1102	2
998	1103	1
999	1104	0
